Timestamp,Gender / เพศ,Age / อายุ,Status / สถานะ  ,Do you play games? / คุณเล่นเกมหรือไม่  ,Why do you play games? / คุณเล่นเกมเพื่ออะไร  ,How many hours do you play games per day? / คุณเล่นเกมกี่ชั่วโมงต่อวัน,What time do you usually play games? / คุณเล่นเกมช่วงเวลาใดมากที่สุด ,Which platform do you use? / คุณเล่นเกมผ่านแพลตฟอร์มใด,What genres do you play? / คุณเคยเล่นเกมแนวไหนมาบ้าง ,What genre do you play the most? / คุณชอบเล่นแนวไหนมากที่สุด,Have you ever spent money on games? / คุณเคยเติมเงินในเกมหรือไม่,How much do you spend on games per month? / คุณใช้เงินกับเกมต่อเดือนเท่าไหร่,What do you usually spend money on? / คุณใช้เงินไปกับอะไร,Do you think you play games too much? / คุณคิดว่าคุณเล่นเกมมากเกินไปหรือไม่,Does gaming affect your study/work? / การเล่นเกมมีผลต่อการเรียน/การทำงานหรือไม่,How many hours do you sleep per day? / คุณนอนกี่ชั่วโมงต่อวัน,Do you play games before sleeping?  / คุณเล่นเกมก่อนนอนไหม,Does gaming affect your health? / การเล่นเกมส่งผลต่อสุขภาพหรือไม่,Have you ever tried to reduce your gaming time but failed? / คุณเคยพยายามลดเวลาเล่นเกม แต่ไม่สำเร็จหรือไม่ ,Do you feel irritated when you cannot play games? /  คุณรู้สึกหงุดหงิดเมื่อไม่ได้เล่นเกมหรือไม่ ,Do you neglect responsibilities because of gaming? /  คุณเคยละเลยหน้าที่ (เช่น การเรียน งาน หรือกิจกรรมอื่นๆ) เพราะการเล่นเกมหรือไม่ 
3/25/2026 17:26:11,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,0 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Not at all / ไม่เลย,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:26:54,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,More than 6 hours / มากกว่า 6 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Buying games (ซื้อเกมมาเล่น),A lot / มาก,A lot / มาก,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Often / บ่อย,Sometimes / บางครั้ง,Often / บ่อย
3/25/2026 17:28:34,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Sports (Ex. FIFA, eFootball, NBA 2K), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:30:47,Female / หญิง,24 +,Other / อื่นๆ,Yes / เล่น,Relaxation / ผ่อนคลาย,More than 6 hours / มากกว่า 6 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop, Console (PlayStation, Xbox, Nintendo)","MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",สุ่มกาชา,Moderately / ปานกลาง,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 17:33:00,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",,Less than 100 THB / ต่ำกว่า 100 บาท,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Slightly / เล็กน้อย,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 17:34:11,Female / หญิง,21 - 23,Working / ทำงาน,Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,A lot / มาก,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:36:00,Male / ชาย,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,สะสมตัวละครที่ชื่นชอบ,More than 6 hours / มากกว่า 6 ชั่วโมง,Morning / เช้า,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Moderately / ปานกลาง,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Never / ไม่เคย,Never / ไม่เคย,Often / บ่อย
3/25/2026 17:36:17,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 17:41:52,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,แก้เบื่อ,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Moderately / ปานกลาง,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Never / ไม่เคย,Sometimes / บางครั้ง,Often / บ่อย
3/25/2026 17:42:32,Male / ชาย,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Slightly / เล็กน้อย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
