Timestamp,Gender / เพศ,Age / อายุ,Status / สถานะ  ,Do you play games? / คุณเล่นเกมหรือไม่  ,Why do you play games? / คุณเล่นเกมเพื่ออะไร  ,How many hours do you play games per day? / คุณเล่นเกมกี่ชั่วโมงต่อวัน,What time do you usually play games? / คุณเล่นเกมช่วงเวลาใดมากที่สุด ,Which platform do you use? / คุณเล่นเกมผ่านแพลตฟอร์มใด,What genres do you play? / คุณเคยเล่นเกมแนวไหนมาบ้าง ,What genre do you play the most? / คุณชอบเล่นแนวไหนมากที่สุด,Have you ever spent money on games? / คุณเคยเติมเงินในเกมหรือไม่,How much do you spend on games per month? / คุณใช้เงินกับเกมต่อเดือนเท่าไหร่,What do you usually spend money on? / คุณใช้เงินไปกับอะไร,Do you think you play games too much? / คุณคิดว่าคุณเล่นเกมมากเกินไปหรือไม่,Does gaming affect your study/work? / การเล่นเกมมีผลต่อการเรียน/การทำงานหรือไม่,How many hours do you sleep per day? / คุณนอนกี่ชั่วโมงต่อวัน,Do you play games before sleeping?  / คุณเล่นเกมก่อนนอนไหม,Does gaming affect your health? / การเล่นเกมส่งผลต่อสุขภาพหรือไม่,Have you ever tried to reduce your gaming time but failed? / คุณเคยพยายามลดเวลาเล่นเกม แต่ไม่สำเร็จหรือไม่ ,Do you feel irritated when you cannot play games? /  คุณรู้สึกหงุดหงิดเมื่อไม่ได้เล่นเกมหรือไม่ ,Do you neglect responsibilities because of gaming? /  คุณเคยละเลยหน้าที่ (เช่น การเรียน งาน หรือกิจกรรมอื่นๆ) เพราะการเล่นเกมหรือไม่ 
3/25/2026 17:42:34,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Sports (Ex. FIFA, eFootball, NBA 2K)","Sports (Ex. FIFA, eFootball, NBA 2K)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,In-game items (ไอเทมภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 17:44:25,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Afternoon / บ่าย,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Puzzle (Ex. Candy Crush, Tetris)","Puzzle (Ex. Candy Crush, Tetris)",No / ไม่เคย,0 THB,Never / ไม่เคย,Slightly / เล็กน้อย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 17:44:28,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,สุขภาพจิต ( Mental Healt ) แลกกับ แรงค์ (Rank),Often / บ่อย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 17:45:34,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Escaping stress / หนีความเครียด,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 17:49:09,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 17:49:09,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"500–1,000 THB",Buying games (ซื้อเกมมาเล่น),Moderately / ปานกลาง,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 17:56:08,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Afternoon / บ่าย,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Puzzle (Ex. Candy Crush, Tetris)","Puzzle (Ex. Candy Crush, Tetris)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 17:59:56,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Puzzle (Ex. Candy Crush, Tetris)",,No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:06:15,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), ฮาร์ทโทเปีย","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",No / ไม่เคย,0 THB,Never / ไม่เคย,Slightly / เล็กน้อย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:10:11,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,More than 6 hours / มากกว่า 6 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 18:11:31,Male / ชาย,24 +,Working / ทำงาน,Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,More than 6 hours / มากกว่า 6 ชั่วโมง,Afternoon / บ่าย,"PC / Laptop, Console (PlayStation, Xbox, Nintendo)","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Buying games (ซื้อเกมมาเล่น),Moderately / ปานกลาง,Moderately / ปานกลาง,More than 8 hour / มากกว่า 8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:14:48,Male / ชาย,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,In-game items (ไอเทมภายในเกม),A lot / มาก,Slightly / เล็กน้อย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:28:16,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"500–1,000 THB",In-game items (ไอเทมภายในเกม),Moderately / ปานกลาง,Slightly / เล็กน้อย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 18:28:39,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,Buying games (ซื้อเกมมาเล่น),Slightly / เล็กน้อย,Moderately / ปานกลาง,7-8 hour / 7-8 ชั่วโมง,No / ไม่ได้เล่น,Back/neck pain / ปวดหลัง/คอ,Never / ไม่เคย,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 18:33:19,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",No / ไม่เคย,0 THB,Never / ไม่เคย,Slightly / เล็กน้อย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:33:43,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Puzzle (Ex. Candy Crush, Tetris), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Puzzle (Ex. Candy Crush, Tetris)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:34:18,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Puzzle (Ex. Candy Crush, Tetris), Hayday","Puzzle (Ex. Candy Crush, Tetris)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:38:58,Female / หญิง,24 +,Working / ทำงาน,Yes / เล่น,Escaping stress / หนีความเครียด,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop",Roblox,"Puzzle (Ex. Candy Crush, Tetris)",Yes / เคย,"500–1,000 THB",In-game items (ไอเทมภายในเกม),A lot / มาก,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Never / ไม่เคย,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 18:42:13,Male / ชาย,24 +,Other / อื่นๆ,No / ไม่ได้เล่น,,No / ไม่ได้เล่น,,,,"Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,Less than 4 hour / น้อยกว่า 4 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:44:10,Male / ชาย,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Sports (Ex. FIFA, eFootball, NBA 2K)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 18:52:22,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Often / บ่อย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:52:59,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,Sleep issues / นอนดึก,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 18:54:21,Male / ชาย,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,5-6 hours / 5-6 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Sports (Ex. FIFA, eFootball, NBA 2K), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"500–1,000 THB",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 19:18:12,Female / หญิง,24 +,Working / ทำงาน,Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Sports (Ex. FIFA, eFootball, NBA 2K)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,In-game items (ไอเทมภายในเกม),Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Often / บ่อย,Never / ไม่เคย
3/25/2026 19:21:11,Male / ชาย,24 +,Working / ทำงาน,Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,Mobile / มือถือ,"Sports (Ex. FIFA, eFootball, NBA 2K)","Sports (Ex. FIFA, eFootball, NBA 2K)",Yes / เคย,Less than 100 THB / ต่ำกว่า 100 บาท,In-game items (ไอเทมภายในเกม),Moderately / ปานกลาง,Moderately / ปานกลาง,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Often / บ่อย,Sometimes / บางครั้ง
3/25/2026 19:27:58,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,3-4 hours / 3-4 ชั่วโมง,Morning / เช้า,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Sports (Ex. FIFA, eFootball, NBA 2K)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,More than 8 hour / มากกว่า 8 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 19:31:06,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",No / ไม่ได้เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Night / กลางคืน,"Mobile / มือถือ, PC / Laptop","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris)","Puzzle (Ex. Candy Crush, Tetris)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Often / บ่อย,Never / ไม่เคย
3/25/2026 19:52:15,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Afternoon / บ่าย,Mobile / มือถือ,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), Sports (Ex. FIFA, eFootball, NBA 2K)","Sports (Ex. FIFA, eFootball, NBA 2K)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 19:59:46,Male / ชาย,18 - 20,Working / ทำงาน,Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,PC / Laptop,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Moderately / ปานกลาง,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Often / บ่อย,Sometimes / บางครั้ง,Never / ไม่เคย
3/25/2026 20:10:58,Female / หญิง,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,No / ไม่ได้เล่น,Night / กลางคืน,Mobile / มือถือ,"Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)","Simulation (Ex. The Sims, Animal Crossing, Stardew Valley)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,Less than 4 hour / น้อยกว่า 4 ชั่วโมง,No / ไม่ได้เล่น,No effect / ไม่ส่งผล,Never / ไม่เคย,Never / ไม่เคย,Never / ไม่เคย
3/25/2026 20:14:01,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Relaxation / ผ่อนคลาย,1-2 hours / 1-2 ชั่วโมง,Night / กลางคืน,PC / Laptop,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Puzzle (Ex. Candy Crush, Tetris), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","RPG (Ex. Genshin impact, Elden Ring, Black Desert)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 20:23:41,Female / หญิง,21 - 23,"Student / นักเรียน , นักศึกษา",No / ไม่ได้เล่น,Achievement / ความสำเร็จในเกม,No / ไม่ได้เล่น,Night / กลางคืน,,"Puzzle (Ex. Candy Crush, Tetris)","Puzzle (Ex. Candy Crush, Tetris)",No / ไม่เคย,0 THB,Never / ไม่เคย,Not at all / ไม่เลย,Not at all / ไม่เลย,5-6 hour / 5-6 ชั่วโมง,No / ไม่ได้เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
3/25/2026 20:26:55,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,3-4 hours / 3-4 ชั่วโมง,Night / กลางคืน,PC / Laptop,"Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), Sports (Ex. FIFA, eFootball, NBA 2K), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Action / Shooting (Ex. Apex Legend, Valorant, Call Of Duty)",Yes / เคย,"More than 1,000 THB / มากกว่า 1,000 บาท",Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),Slightly / เล็กน้อย,Moderately / ปานกลาง,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Eye strain / ปวดตา,Sometimes / บางครั้ง,Never / ไม่เคย,Sometimes / บางครั้ง
3/25/2026 20:33:25,Female / หญิง,Under 18 / ต่ำกว่า 18 ปี,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Socializing with friends / เล่นกับเพื่อน,5-6 hours / 5-6 ชั่วโมง,Afternoon / บ่าย,"Mobile / มือถือ, Other / อื่นๆ","Action / Shooting (Ex. Apex Legends, Valorant, Call Of Duty), MOBA (Ex. ROV, Dota, MLBB, League Of Legends), RPG (Ex. Genshin impact, Elden Ring, Black Desert), Simulation (Ex. The Sims, Animal Crossing, Stardew Valley), Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)","Horror (Ex. Resident Evil, Dead By Daylight ,Phasmophobia)",Yes / เคย,100–500 THB,Skins / Cosmetic (สกิน / ของตกแต่งภายในเกม),A lot / มาก,A lot / มาก,7-8 hour / 7-8 ชั่วโมง,Yes / เล่น,Back/neck pain / ปวดหลัง/คอ,Sometimes / บางครั้ง,Often / บ่อย,Sometimes / บางครั้ง
3/25/2026 20:44:43,Male / ชาย,18 - 20,"Student / นักเรียน , นักศึกษา",Yes / เล่น,Escaping stress / หนีความเครียด,Less than 1 hour / น้อยกว่า 1 ชั่วโมง,Morning / เช้า,Mobile / มือถือ,"MOBA (Ex. ROV, Dota, MLBB, League Of Legends)","MOBA (Ex. ROV, Dota, MLBB, League Of Legend)",No / ไม่เคย,0 THB,Never / ไม่เคย,Slightly / เล็กน้อย,Slightly / เล็กน้อย,5-6 hour / 5-6 ชั่วโมง,Yes / เล่น,Sleep issues / นอนดึก,Sometimes / บางครั้ง,Sometimes / บางครั้ง,Sometimes / บางครั้ง
